lon	lat	OBJECTID	NAME	WEB_URL	EXIT_TO_ST	LINE
-77.03934469	38.90125242	1	Farragut West	http://www.wmata.com/rail/station_detail.cfm?station_id=38	SE CORNER OF 17TH STREET NW AND I STREET NW	"blue, orange"
-77.05046475	38.90090289	2	Foggy Bottom | GWU	http://www.wmata.com/rail/station_detail.cfm?station_id=40	NW CORNER OF 23RD STREET NW AND I STREET NW	"blue, orange"
-76.94675067	38.89876265	3	Minnesota Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=64	NW SIDE OF MINNESOTA AVENUE NE	orange
-77.02681716	38.8981638	4	Metro Center	http://www.wmata.com/rail/station_detail.cfm?station_id=1	SE CORNER OF G STREET NW AND 11TH STREET NW	"red, blue, orange"
-77.00720207	38.89749219	5	Union Station	http://www.wmata.com/rail/station_detail.cfm?station_id=25	NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE	red
-77.01598703	38.89532182	6	Judiciary Sq	http://www.wmata.com/rail/station_detail.cfm?station_id=23	NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW	red
-77.02865801	38.89381031	7	Federal Triangle	http://www.wmata.com/rail/station_detail.cfm?station_id=53	RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW	"blue, orange"
-77.02243966	38.89394417	8	Archives | Navy Mem	http://www.wmata.com/rail/station_detail.cfm?station_id=81	NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW	"green,yellow"
-77.02157749	38.8862549	9	L'Enfant Plaza	http://www.wmata.com/rail/station_detail.cfm?station_id=82	SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW	"green, yellow, orange, blue"
-77.02845663	38.88725487	10	Smithsonian	http://www.wmata.com/rail/station_detail.cfm?station_id=54	SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW	"blue, orange"
-76.97704578	38.88566309	11	Stadium | Armory	http://www.wmata.com/rail/station_detail.cfm?station_id=63	NE CORNER OF 19TH STREET SE AND C STREET SE	"blue, orange"
-77.00605462	38.88556979	12	Capitol South	http://www.wmata.com/rail/station_detail.cfm?station_id=59	WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE	"blue, orange"
-76.9958153	38.88425287	13	Eastern Market	http://www.wmata.com/rail/station_detail.cfm?station_id=60	SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE	"blue, orange"
-76.98517369	38.88084653	14	Potomac Ave	http://www.wmata.com/rail/station_detail.cfm?station_id=61	NE CORNER OF 14TH STREET SE AND POTOMAC AVENUE SE	"blue, orange"
-77.00449748	38.87667675	15	Navy Yard-Ballpark	http://www.wmata.com/rail/station_detail.cfm?station_id=84	NW CORNER OF NEW JERSEY AVENUE SE AND M STREET SE	green
-77.01755756	38.87696202	16	Waterfront	http://www.wmata.com/rail/station_detail.cfm?station_id=83	NE CORNER OF M STREET SW AND 4TH STREET SW	green
